username, created_at, lng, lat, text
atticusown, Fri Jan 22 23:53:46 +0000 2021, -80.122619, 26.721896, @AOC @pattonoswalt https://t.co/ZBhHZgsqBs 
so_sarahcastic, Fri Jan 22 23:53:46 +0000 2021, -83.173867, 32.678207, @SayJones18 ahhhh that makes much more sense 
tmj_WAR_LABOR, Fri Jan 22 23:53:46 +0000 2021, -119.100566, 46.239579, Want to work at Dollar Tree? We're hiring in #Pasco, WA! Click the link in our bio for details on this job and more: Stockers #Labor 
ConstanceJackso, Fri Jan 22 23:53:46 +0000 2021, -96.761753, 32.819858, https://t.co/IMqEKwPWTj 
tentwentysixpm, Fri Jan 22 23:53:46 +0000 2021, -118.411907, 34.020789, AN ICON 
AmyPastewart2, Fri Jan 22 23:53:46 +0000 2021, -76.416278, 38.353420, @nzubriski @SebGorka This is BS! We needed the troops over the summer when BLM &amp; ANTIFA were burning down cities. N… https://t.co/K68yToI0lO 
tmj_dfw_it, Fri Jan 22 23:53:46 +0000 2021, -96.948894, 32.814018, U.S. Bank is hiring in #Irving, TX! Read about our latest #IT job opening via the link in our bio: Senior Software… https://t.co/jeqYgPfoxD 
TheMarianAlmeid, Fri Jan 22 23:53:46 +0000 2021, -73.199118, 41.185674, Simples,Não quer minha opinião, não pede ou insinua que queira. 
benwbear, Fri Jan 22 23:53:47 +0000 2021, -122.228685, 37.791994, If my friends are any indication, the quarantine boomers are the new baby boomers. 
kickitoldschool, Fri Jan 22 23:53:47 +0000 2021, -73.968542, 40.780709, @thekjohnston Word! 📭 
Nicki_07, Fri Jan 22 23:53:47 +0000 2021, -83.085228, 40.177547, 🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻 finally here! Welcome home Kyle! 
LeDouxUSA, Fri Jan 22 23:53:47 +0000 2021, -76.488585, 39.264492, So much for Democratic "Russia Hawks".  https://t.co/JJ9VcnlIlM 
pittman_nairobi, Fri Jan 22 23:53:47 +0000 2021, -115.290470, 36.233074, Here's my plays for today @JTFOz @actionjaxson100 @JTMoneyCaps @JayMoneyIsMoney @bobano @SacTownKingCA @pickzillas… https://t.co/u36a4h5DYz 
brenner_colleen, Fri Jan 22 23:53:47 +0000 2021, -114.584753, 32.668218, Governor’s withdraw your  #NationalGuard  #Biden is ridiculing mocking and humiliating them - #Biden is impeaching… https://t.co/2Y3i7t4Tj5 
kkw1966, Fri Jan 22 23:53:48 +0000 2021, -117.104989, 32.810012, @GOPChairwoman I don’t think this type of tweet is helping things...just my opinion. 
mattprieur, Fri Jan 22 23:53:47 +0000 2021, -83.015352, 40.168362, #GameDay - The Office for the Night TONIGHT (Friday, January 22nd) @ColumbusMavsHky VS Lake Erie Bighorns from… https://t.co/GO8XoJQwN2 
CRBrowni3, Fri Jan 22 23:53:48 +0000 2021, -110.044783, 46.679800, Goodbye Xbox 
omgemily313, Fri Jan 22 23:53:48 +0000 2021, -88.117318, 41.410598, Im trying to go get some drinks &amp; wings. I’m tired of staying home 
Eugene1172, Fri Jan 22 23:53:48 +0000 2021, -83.173867, 32.678207, @triple_moonbow Youtube https://t.co/giWgKV8BbF https://t.co/CXcTqB0TXD 
rafaliou, Fri Jan 22 23:53:48 +0000 2021, -118.411907, 34.020789, @dea_santana Eu entendi existir Faria Limers pq combina com o conceito hahaha! Mas Nordesters é paradoxal! 
jasonray2020, Fri Jan 22 23:53:48 +0000 2021, -71.812438, 42.275760, J@SON R@Y - Rockin Your Body Is Now Available To Listen &amp; Download On Apple Music. https://t.co/bHc881WzJF 
MaiaLanai, Fri Jan 22 23:53:48 +0000 2021, -92.061177, 30.206079, Okay kellyyyy 
TioSamSays, Fri Jan 22 23:53:48 +0000 2021, -80.440832, 25.758298, @SeayonceKnows They claim Syria. Obama messed up in Syria- but it wasn’t by bombing the genocidal assholes and terrorists. 
robyclic, Fri Jan 22 23:53:48 +0000 2021, -73.879378, 45.649611, Y'a de l'amour et de la joie dans l'air...😘💞#chien #joie #amour #fujifilm_northamerica #fujifilm_xseries… https://t.co/J9YJRYx9UC 
ReiterG, Fri Jan 22 23:53:48 +0000 2021, -86.142922, 39.779562, All the moments where you realize the grandkids have inherited your DNA. No.1 Lame hide and seek game Thread: https://t.co/KeK2hTT7DN 
amberr_wilkk20, Fri Jan 22 23:53:48 +0000 2021, -81.350435, 41.160251, I need more friends 
larisimilitude, Fri Jan 22 23:53:49 +0000 2021, -96.761753, 32.819858, With online teaching, there’s always a point in the semester when my actual PhD becomes more relevant than the deca… https://t.co/bC2qrp0Z4Z 
tmj_las_health, Fri Jan 22 23:53:49 +0000 2021, -115.313391, 36.178011, We #CareDeeply about YOU! Our wellness and employee assistance programs are just some of the ways The Heights of Su… https://t.co/arBnMAgZ7l 
iam_tajahh, Fri Jan 22 23:53:49 +0000 2021, -83.173867, 32.678207, Girl* 
